run_id,queue,arrival_rate,service_duration,num_agents,patience_limit,avg_wait,served,reneged
46,FIFO,0.5,2.0,3,2.5,0.013899584716947829,37,13
47,Priority,0.5,2.0,3,2.5,0.018055550627216234,45,5
48,Random,0.5,2.0,3,2.5,0.030562520189383494,33,17
49,FIFO,0.5,2.0,3,3.0,0.05757256181959036,45,5
50,Priority,0.5,2.0,3,3.0,0.1039149652943729,41,9
51,Random,0.5,2.0,3,3.0,0.03082136134053557,42,8
52,FIFO,0.5,2.0,3,3.5,0.0,48,2
53,Priority,0.5,2.0,3,3.5,0.025604095733990563,48,2
54,Random,0.5,2.0,3,3.5,0.08517564412796022,45,5
55,FIFO,0.5,2.5,1,2.5,0.48238050119502773,11,39
56,Priority,0.5,2.5,1,2.5,0.3304887917134277,10,40
57,Random,0.5,2.5,1,2.5,0.8800356156420678,19,31
58,FIFO,0.5,2.5,1,3.0,1.2461181317838936,24,26
59,Priority,0.5,2.5,1,3.0,0.4705024849207247,22,28
60,Random,0.5,2.5,1,3.0,2.100467762157836,22,28
61,FIFO,0.5,2.5,1,3.5,1.7073256967787522,31,19
62,Priority,0.5,2.5,1,3.5,3.0677478119142463,37,13
63,Random,0.5,2.5,1,3.5,5.522091292663367,36,14
64,FIFO,0.5,2.5,2,2.5,0.0,10,40
65,Priority,0.5,2.5,2,2.5,0.054036328808972696,15,35
66,Random,0.5,2.5,2,2.5,0.04953623285568748,16,34
67,FIFO,0.5,2.5,2,3.0,0.42824573388353715,25,25
68,Priority,0.5,2.5,2,3.0,0.0826938668309457,24,26
69,Random,0.5,2.5,2,3.0,0.17546492177624956,25,25
70,FIFO,0.5,2.5,2,3.5,0.28777613347956454,31,19
71,Priority,0.5,2.5,2,3.5,0.25652925158060447,33,17
72,Random,0.5,2.5,2,3.5,0.5880908673592363,38,12
73,FIFO,0.5,2.5,3,2.5,0.0,13,37
74,Priority,0.5,2.5,3,2.5,0.0,10,40
75,Random,0.5,2.5,3,2.5,0.026101471087744743,8,42
76,FIFO,0.5,2.5,3,3.0,0.13471060586872355,23,27
77,Priority,0.5,2.5,3,3.0,0.0,24,26
78,Random,0.5,2.5,3,3.0,0.056081944655964985,23,27
79,FIFO,0.5,2.5,3,3.5,0.0069685953112316665,32,18
80,Priority,0.5,2.5,3,3.5,0.005463778259100422,33,17
81,Random,0.5,2.5,3,3.5,0.053192953233176674,35,15
82,FIFO,1.0,1.5,1,2.5,14.491841954217211,50,0
83,Priority,1.0,1.5,1,2.5,14.267960275676328,50,0
84,Random,1.0,1.5,1,2.5,17.29531418984694,50,0
85,FIFO,1.0,1.5,1,3.0,9.182075673681922,50,0
86,Priority,1.0,1.5,1,3.0,13.987201859184722,50,0
87,Random,1.0,1.5,1,3.0,12.786175839086226,50,0
88,FIFO,1.0,1.5,1,3.5,16.791511888051588,50,0
89,Priority,1.0,1.5,1,3.5,14.966804551273064,50,0
90,Random,1.0,1.5,1,3.5,18.44053727278041,50,0
91,FIFO,1.0,1.5,2,2.5,0.7265424296921548,50,0
92,Priority,1.0,1.5,2,2.5,0.3707525991318213,50,0
93,Random,1.0,1.5,2,2.5,0.28288093650832374,50,0
94,FIFO,1.0,1.5,2,3.0,0.4526293926343435,50,0
95,Priority,1.0,1.5,2,3.0,1.181410427620433,50,0
96,Random,1.0,1.5,2,3.0,0.4234572899806397,50,0
97,FIFO,1.0,1.5,2,3.5,0.49205050024810243,50,0
98,Priority,1.0,1.5,2,3.5,0.7752524146382571,50,0
99,Random,1.0,1.5,2,3.5,1.6817769191558951,50,0
100,FIFO,1.0,1.5,3,2.5,0.16232026040489075,50,0
101,Priority,1.0,1.5,3,2.5,0.04707466640781433,50,0
102,Random,1.0,1.5,3,2.5,0.2767226597013471,50,0
103,FIFO,1.0,1.5,3,3.0,0.09639678582433567,50,0
104,Priority,1.0,1.5,3,3.0,0.08566915130655538,50,0
105,Random,1.0,1.5,3,3.0,0.0676583890064767,50,0
106,FIFO,1.0,1.5,3,3.5,0.20606372724572572,50,0
107,Priority,1.0,1.5,3,3.5,0.30322042627312934,50,0
108,Random,1.0,1.5,3,3.5,0.17432880947777712,50,0
109,FIFO,1.0,2.0,1,2.5,10.726121345393448,32,18
110,Priority,1.0,2.0,1,2.5,2.2708436110753065,35,15
111,Random,1.0,2.0,1,2.5,8.991900602209306,37,13
112,FIFO,1.0,2.0,1,3.0,21.155511230761086,44,6
113,Priority,1.0,2.0,1,3.0,14.99812356886004,42,8
114,Random,1.0,2.0,1,3.0,17.890671977530932,42,8
115,FIFO,1.0,2.0,1,3.5,20.2585396960109,45,5
116,Priority,1.0,2.0,1,3.5,16.274188966751666,45,5
117,Random,1.0,2.0,1,3.5,16.647825419771564,41,9
118,FIFO,1.0,2.0,2,2.5,0.247588305606645,35,15
119,Priority,1.0,2.0,2,2.5,1.0219914662449008,41,9
120,Random,1.0,2.0,2,2.5,0.6877016434919214,38,12
121,FIFO,1.0,2.0,2,3.0,0.4058124039583069,43,7
122,Priority,1.0,2.0,2,3.0,1.2782916284068389,43,7
123,Random,1.0,2.0,2,3.0,1.4854091749995275,44,6
124,FIFO,1.0,2.0,2,3.5,0.3788090732410001,45,5
125,Priority,1.0,2.0,2,3.5,1.4063936614800383,45,5
126,Random,1.0,2.0,2,3.5,1.52845254882909,48,2
127,FIFO,1.0,2.0,3,2.5,0.056974757684952096,38,12
128,Priority,1.0,2.0,3,2.5,0.019483001824556395,34,16
129,Random,1.0,2.0,3,2.5,0.19349384078379472,36,14
130,FIFO,1.0,2.0,3,3.0,0.1201913650240563,46,4
131,Priority,1.0,2.0,3,3.0,0.1486934438987537,39,11
132,Random,1.0,2.0,3,3.0,0.16190824999054584,48,2
133,FIFO,1.0,2.0,3,3.5,0.5127958474221814,50,0
134,Priority,1.0,2.0,3,3.5,0.14237009383893098,50,0
135,Random,1.0,2.0,3,3.5,0.3037886277815309,46,4
136,FIFO,1.0,2.5,1,2.5,0.49512082779708544,13,37
137,Priority,1.0,2.5,1,2.5,1.8780634957135902,15,35
138,Random,1.0,2.5,1,2.5,0.700357796261308,13,37
139,FIFO,1.0,2.5,1,3.0,7.102012973407224,25,25
140,Priority,1.0,2.5,1,3.0,6.421512706993505,23,27
141,Random,1.0,2.5,1,3.0,6.8795832139019755,26,24
142,FIFO,1.0,2.5,1,3.5,9.01568113392659,34,16
143,Priority,1.0,2.5,1,3.5,20.882436602906388,32,18
144,Random,1.0,2.5,1,3.5,17.689205648984547,32,18
145,FIFO,1.0,2.5,2,2.5,0.09716164735203194,8,42
146,Priority,1.0,2.5,2,2.5,0.16234498254949215,9,41
147,Random,1.0,2.5,2,2.5,0.09752484405614109,18,32
148,FIFO,1.0,2.5,2,3.0,0.4589691605004437,27,23
149,Priority,1.0,2.5,2,3.0,0.8922828299214481,25,25
150,Random,1.0,2.5,2,3.0,0.30249583758495047,21,29
151,FIFO,1.0,2.5,2,3.5,1.9851311354375918,37,13
152,Priority,1.0,2.5,2,3.5,2.7786638258610825,37,13
153,Random,1.0,2.5,2,3.5,2.6406490673925704,38,12
154,FIFO,1.0,2.5,3,2.5,0.08138394567278183,17,33
155,Priority,1.0,2.5,3,2.5,0.0,20,30
156,Random,1.0,2.5,3,2.5,0.06156442013203972,14,36
157,FIFO,1.0,2.5,3,3.0,0.0,25,25
158,Priority,1.0,2.5,3,3.0,0.13278492338908443,27,23
159,Random,1.0,2.5,3,3.0,0.22783004826100905,29,21
160,FIFO,1.0,2.5,3,3.5,0.19850133049387053,34,16
161,Priority,1.0,2.5,3,3.5,0.18341081048162447,33,17
162,Random,1.0,2.5,3,3.5,0.3711057637533532,37,13
163,FIFO,1.5,1.5,1,2.5,18.789641219433832,50,0
164,Priority,1.5,1.5,1,2.5,21.577738099773054,50,0
165,Random,1.5,1.5,1,2.5,24.169173271672793,50,0
166,FIFO,1.5,1.5,1,3.0,22.37581559167828,50,0
167,Priority,1.5,1.5,1,3.0,21.557994486845505,50,0
168,Random,1.5,1.5,1,3.0,13.956406760774987,50,0
169,FIFO,1.5,1.5,1,3.5,20.705203317315554,50,0
170,Priority,1.5,1.5,1,3.5,23.45851907658942,50,0
